"#name","Norwegian-English dictionary"
"#version","2.4.2"
"#wordcount","8440"
"#idxfilesize","164338"
"#creationTime","2009.01.30"
"#sametypesequence","x"
"#description","Copyright: Converted by swaj under GNU Public License; Version: 1.1"
"#sourceLang","Norwegian"
"#targetLang","English"
"slamp","<div class=""article""><div class=""k""><b>slamp</b></div>lout</div>"
"slange","<div class=""article""><div class=""k""><b>slange</b></div>hose, tube</div>"
"slange, strømpe","<div class=""article""><div class=""k""><b>slange, strømpe</b></div>hose</div>"
"slangeagurk","<div class=""article""><div class=""k""><b>slangeagurk</b></div>cucumber</div>"
"slangeagurk, agurk","<div class=""article""><div class=""k""><b>slangeagurk, agurk</b></div>cucumber</div>"
"slapp","<div class=""article""><div class=""k""><b>slapp</b></div>floppy<br/>lax, floppy, limp, flabby<br/>lax</div>"
"slapp, pløsete","<div class=""article""><div class=""k""><b>slapp, pløsete</b></div>flabby</div>"
"slapphet","<div class=""article""><div class=""k""><b>slapphet</b></div>laxity</div>"
"slede","<div class=""article""><div class=""k""><b>slede</b></div>sleigh</div>"
"slegge","<div class=""article""><div class=""k""><b>slegge</b></div>hammer</div>"
"sleiv","<div class=""article""><div class=""k""><b>sleiv</b></div>ladle</div>"
"sleiv, øse","<div class=""article""><div class=""k""><b>sleiv, øse</b></div>ladle</div>"
"slekt","<div class=""article""><div class=""k""><b>slekt</b></div>kin</div>"
"slektsforsker","<div class=""article""><div class=""k""><b>slektsforsker</b></div>geneologist</div>"
"slektsforskning","<div class=""article""><div class=""k""><b>slektsforskning</b></div>geneology</div>"
"slektshistorie","<div class=""article""><div class=""k""><b>slektshistorie</b></div>geneology</div>"
"slektshistorie, slektsforskning","<div class=""article""><div class=""k""><b>slektshistorie, slektsforskning</b></div>geneology</div>"
"slektskap","<div class=""article""><div class=""k""><b>slektskap</b></div>kindred</div>"
"slektskap, beslektet","<div class=""article""><div class=""k""><b>slektskap, beslektet</b></div>kindred</div>"
"slektsledd","<div class=""article""><div class=""k""><b>slektsledd</b></div>generation</div>"
"slenge","<div class=""article""><div class=""k""><b>slenge</b></div>fling</div>"
"slentre","<div class=""article""><div class=""k""><b>slentre</b></div>loiter<br/>lounge, loiter</div>"
"slepe","<div class=""article""><div class=""k""><b>slepe</b></div>lug</div>"
"slepenot","<div class=""article""><div class=""k""><b>slepenot</b></div>dragnet</div>"
"slepetau","<div class=""article""><div class=""k""><b>slepetau</b></div>towing-line</div>"
"slette","<div class=""article""><div class=""k""><b>slette</b></div>flat, delete</div>"
"slikk","<div class=""article""><div class=""k""><b>slikk</b></div>lick</div>"
"slikk, slikke","<div class=""article""><div class=""k""><b>slikk, slikke</b></div>lick</div>"
"slikke","<div class=""article""><div class=""k""><b>slikke</b></div>lick</div>"
"slimløsende","<div class=""article""><div class=""k""><b>slimløsende</b></div>expectorant</div>"
"slipe","<div class=""article""><div class=""k""><b>slipe</b></div>grind</div>"
"slipe, maling, male","<div class=""article""><div class=""k""><b>slipe, maling, male</b></div>grind</div>"
"slipestein","<div class=""article""><div class=""k""><b>slipestein</b></div>grindstone</div>"
"slips","<div class=""article""><div class=""k""><b>slips</b></div>necktie<br/>tie, necktie<br/>tie</div>"
"slit","<div class=""article""><div class=""k""><b>slit</b></div>fag, labour</div>"
"slite","<div class=""article""><div class=""k""><b>slite</b></div>fag, labour</div>"
"slite på","<div class=""article""><div class=""k""><b>slite på</b></div>fret</div>"
"slite på, gnage, ergre, irritere","<div class=""article""><div class=""k""><b>slite på, gnage, ergre, irritere</b></div>fret</div>"
"slite, slit, sigarett","<div class=""article""><div class=""k""><b>slite, slit, sigarett</b></div>fag</div>"
"slokke","<div class=""article""><div class=""k""><b>slokke</b></div>extinguish</div>"
"slokking","<div class=""article""><div class=""k""><b>slokking</b></div>extinction</div>"
"slokkingsapparat","<div class=""article""><div class=""k""><b>slokkingsapparat</b></div>extinguisher</div>"
"sloknet","<div class=""article""><div class=""k""><b>sloknet</b></div>extinct</div>"
"slott","<div class=""article""><div class=""k""><b>slott</b></div>castle, palace<br/>castle<br/>palace</div>"
"slu","<div class=""article""><div class=""k""><b>slu</b></div>astute</div>"
"slu, gløgg","<div class=""article""><div class=""k""><b>slu, gløgg</b></div>astute</div>"
"sluke","<div class=""article""><div class=""k""><b>sluke</b></div>devour<br/>gobble, gulp, devour<br/>gobble</div>"
"sluke, svelge, jafs, slurk","<div class=""article""><div class=""k""><b>sluke, svelge, jafs, slurk</b></div>gulp</div>"
"slukke","<div class=""article""><div class=""k""><b>slukke</b></div>quench</div>"
"slukke, slå ned","<div class=""article""><div class=""k""><b>slukke, slå ned</b></div>quench</div>"
"slukt","<div class=""article""><div class=""k""><b>slukt</b></div>canyon</div>"
"slukt, juv","<div class=""article""><div class=""k""><b>slukt, juv</b></div>canyon</div>"
"slumre","<div class=""article""><div class=""k""><b>slumre</b></div>doze</div>"
"slumre, døse","<div class=""article""><div class=""k""><b>slumre, døse</b></div>doze</div>"
"slurk","<div class=""article""><div class=""k""><b>slurk</b></div>draught, gulp</div>"
"slurk, trekk","<div class=""article""><div class=""k""><b>slurk, trekk</b></div>draught</div>"
"sluse","<div class=""article""><div class=""k""><b>sluse</b></div>lock</div>"
"sluseport","<div class=""article""><div class=""k""><b>sluseport</b></div>floodgate<br/>lock gate, floodgate<br/>lock gate</div>"
"slutning","<div class=""article""><div class=""k""><b>slutning</b></div>inference</div>"
"slutt","<div class=""article""><div class=""k""><b>slutt</b></div>ending, end, finish</div>"
"slutt, endelse, avslutning","<div class=""article""><div class=""k""><b>slutt, endelse, avslutning</b></div>ending</div>"
"slutte","<div class=""article""><div class=""k""><b>slutte</b></div>deduce, quit<br/>quit</div>"
"slutte seg til","<div class=""article""><div class=""k""><b>slutte seg til</b></div>enlist, infer, join</div>"
"slutte seg til, antyde","<div class=""article""><div class=""k""><b>slutte seg til, antyde</b></div>infer</div>"
"sluttføre","<div class=""article""><div class=""k""><b>sluttføre</b></div>finalize</div>"
"sluttstrøk","<div class=""article""><div class=""k""><b>sluttstrøk</b></div>finish</div>"
"slynge","<div class=""article""><div class=""k""><b>slynge</b></div>hurl</div>"
"slynge, kaste","<div class=""article""><div class=""k""><b>slynge, kaste</b></div>hurl</div>"
"slå","<div class=""article""><div class=""k""><b>slå</b></div>flop, hit</div>"
"slå av","<div class=""article""><div class=""k""><b>slå av</b></div>turn off</div>"
"slå feil","<div class=""article""><div class=""k""><b>slå feil</b></div>fail</div>"
"slå ned","<div class=""article""><div class=""k""><b>slå ned</b></div>quench</div>"
"slå seg løs","<div class=""article""><div class=""k""><b>slå seg løs</b></div>have a fling</div>"
"slå telefonnummer","<div class=""article""><div class=""k""><b>slå telefonnummer</b></div>dial</div>"
"slå, deise, fiasko, bakse","<div class=""article""><div class=""k""><b>slå, deise, fiasko, bakse</b></div>flop</div>"
"slåbrok","<div class=""article""><div class=""k""><b>slåbrok</b></div>dressing gown</div>"
"slåss","<div class=""article""><div class=""k""><b>slåss</b></div>fight</div>"
"slåss, kjempe, slagsmål, kamp","<div class=""article""><div class=""k""><b>slåss, kjempe, slagsmål, kamp</b></div>fight</div>"
"slåsshanske","<div class=""article""><div class=""k""><b>slåsshanske</b></div>knuckleduster</div>"
"sløv","<div class=""article""><div class=""k""><b>sløv</b></div>dull, blunt, languid</div>"
"sløv, trist, treg, kjedelig, matt","<div class=""article""><div class=""k""><b>sløv, trist, treg, kjedelig, matt</b></div>dull</div>"
"sløvet","<div class=""article""><div class=""k""><b>sløvet</b></div>jaded</div>"
"sløvet, trett","<div class=""article""><div class=""k""><b>sløvet, trett</b></div>jaded</div>"
"sløvhetstilstand","<div class=""article""><div class=""k""><b>sløvhetstilstand</b></div>languor</div>"
"sløye","<div class=""article""><div class=""k""><b>sløye</b></div>gut</div>"
"sløyfe","<div class=""article""><div class=""k""><b>sløyfe</b></div>loop</div>"
"smak","<div class=""article""><div class=""k""><b>smak</b></div>taste, flavour<br/>taste</div>"
"smak, aroma","<div class=""article""><div class=""k""><b>smak, aroma</b></div>flavour</div>"
"smakfull","<div class=""article""><div class=""k""><b>smakfull</b></div>elegant</div>"
"smakfull, elegant","<div class=""article""><div class=""k""><b>smakfull, elegant</b></div>elegant</div>"
"smakløs","<div class=""article""><div class=""k""><b>smakløs</b></div>insipid</div>"
"smal","<div class=""article""><div class=""k""><b>smal</b></div>narrow</div>"
"smalfilm","<div class=""article""><div class=""k""><b>smalfilm</b></div>cine</div>"
"smaragd","<div class=""article""><div class=""k""><b>smaragd</b></div>emerald</div>"
"smedeskrift","<div class=""article""><div class=""k""><b>smedeskrift</b></div>lampoon</div>"
"smekke","<div class=""article""><div class=""k""><b>smekke</b></div>bib</div>"
"smekklås","<div class=""article""><div class=""k""><b>smekklås</b></div>latch</div>"
"smekklås, klinke","<div class=""article""><div class=""k""><b>smekklås, klinke</b></div>latch</div>"
"smerte","<div class=""article""><div class=""k""><b>smerte</b></div>pain</div>"
"smette","<div class=""article""><div class=""k""><b>smette</b></div>flit</div>"
"smette unna","<div class=""article""><div class=""k""><b>smette unna</b></div>dodge</div>"
"smiger","<div class=""article""><div class=""k""><b>smiger</b></div>flattery</div>"
"smigre","<div class=""article""><div class=""k""><b>smigre</b></div>flatter</div>"
"smigrer","<div class=""article""><div class=""k""><b>smigrer</b></div>flatterer</div>"
"smile bredt","<div class=""article""><div class=""k""><b>smile bredt</b></div>grin</div>"
"smile bredt, glise","<div class=""article""><div class=""k""><b>smile bredt, glise</b></div>grin</div>"
"smilehull","<div class=""article""><div class=""k""><b>smilehull</b></div>dimple</div>"
"sminke","<div class=""article""><div class=""k""><b>sminke</b></div>make-up</div>"
"smitte","<div class=""article""><div class=""k""><b>smitte</b></div>contagion<br/>infect, infection, contagion</div>"
"smitte, infisere","<div class=""article""><div class=""k""><b>smitte, infisere</b></div>infect</div>"
"smittebærer","<div class=""article""><div class=""k""><b>smittebærer</b></div>germcarrier</div>"
"smittende","<div class=""article""><div class=""k""><b>smittende</b></div>infectious</div>"
"smittsom","<div class=""article""><div class=""k""><b>smittsom</b></div>contagous, infectious<br/>contagous</div>"
"smittsom, smittende","<div class=""article""><div class=""k""><b>smittsom, smittende</b></div>infectious</div>"
"smuglytte","<div class=""article""><div class=""k""><b>smuglytte</b></div>eavesdrop</div>"
"smule","<div class=""article""><div class=""k""><b>smule</b></div>crumb</div>"
"smult","<div class=""article""><div class=""k""><b>smult</b></div>lard</div>"
"smult, spekk","<div class=""article""><div class=""k""><b>smult, spekk</b></div>lard</div>"
"smuss","<div class=""article""><div class=""k""><b>smuss</b></div>filth</div>"
"smutthull","<div class=""article""><div class=""k""><b>smutthull</b></div>loophole</div>"
"smykke","<div class=""article""><div class=""k""><b>smykke</b></div>jewel, adorn</div>"
"smykke, juvel","<div class=""article""><div class=""k""><b>smykke, juvel</b></div>jewel</div>"
"smykker","<div class=""article""><div class=""k""><b>smykker</b></div>jewellery</div>"
"småerte","<div class=""article""><div class=""k""><b>småerte</b></div>banter</div>"
"smør","<div class=""article""><div class=""k""><b>smør</b></div>butter</div>"
"smøre","<div class=""article""><div class=""k""><b>smøre</b></div>anoint<br/>lubricate<br/>smear<br/>spread, smear, lubricate, anoint<br/>spread</div>"
"smøremiddel","<div class=""article""><div class=""k""><b>smøremiddel</b></div>lubricant</div>"
"smøreri","<div class=""article""><div class=""k""><b>smøreri</b></div>daub</div>"
"smøring","<div class=""article""><div class=""k""><b>smøring</b></div>lubrication</div>"
"snadre","<div class=""article""><div class=""k""><b>snadre</b></div>cackle, quack</div>"
"snadre, kakle","<div class=""article""><div class=""k""><b>snadre, kakle</b></div>cackle</div>"
"snadring","<div class=""article""><div class=""k""><b>snadring</b></div>quack</div>"
"snakke","<div class=""article""><div class=""k""><b>snakke</b></div>speak, talk</div>"
"snakke med slepende tonefall","<div class=""article""><div class=""k""><b>snakke med slepende tonefall</b></div>drawl</div>"
"snakke, tale","<div class=""article""><div class=""k""><b>snakke, tale</b></div>talk</div>"
"snakkesalig","<div class=""article""><div class=""k""><b>snakkesalig</b></div>garrulous</div>"
"snappe","<div class=""article""><div class=""k""><b>snappe</b></div>grab</div>"
"snappe opp","<div class=""article""><div class=""k""><b>snappe opp</b></div>intercept</div>"
"snappe opp, avskjære","<div class=""article""><div class=""k""><b>snappe opp, avskjære</b></div>intercept</div>"
"snartenkt","<div class=""article""><div class=""k""><b>snartenkt</b></div>quickwitted</div>"
"snartenkt, slagferdig","<div class=""article""><div class=""k""><b>snartenkt, slagferdig</b></div>quickwitted</div>"
"sne","<div class=""article""><div class=""k""><b>sne</b></div>snow</div>"
"snekker","<div class=""article""><div class=""k""><b>snekker</b></div>carpenter</div>"
"snert","<div class=""article""><div class=""k""><b>snert</b></div>lash</div>"
"snikmorder","<div class=""article""><div class=""k""><b>snikmorder</b></div>assassin</div>"
"snill","<div class=""article""><div class=""k""><b>snill</b></div>good, kind</div>"
"snipp","<div class=""article""><div class=""k""><b>snipp</b></div>collar</div>"
"snirkel","<div class=""article""><div class=""k""><b>snirkel</b></div>flourish</div>"
"snor","<div class=""article""><div class=""k""><b>snor</b></div>line</div>"
"snuble","<div class=""article""><div class=""k""><b>snuble</b></div>stumble, falter<br/>stumble</div>"
"snuble, nøle, svikte","<div class=""article""><div class=""k""><b>snuble, nøle, svikte</b></div>falter</div>"
"snurt","<div class=""article""><div class=""k""><b>snurt</b></div>huffy</div>"
"snurt, fornermet","<div class=""article""><div class=""k""><b>snurt, fornermet</b></div>huffy</div>"
"snusket","<div class=""article""><div class=""k""><b>snusket</b></div>dingy</div>"
"snøre","<div class=""article""><div class=""k""><b>snøre</b></div>lace</div>"
